id,icao_code,iata_code,name,type,city_id,country_id,continent_id,latitude_deg,longitude_deg,elevation_ft
4623,SPBB,MBP,Moyobamba Airport,small_airport,28005,139,5,-6.018889,-76.988327,2749
4624,HUMA,MBQ,Mbarara Airport,small_airport,26338,184,2,-0.555278,30.5994,4600
4625,KMBS,MBS,MBS International Airport,medium_airport,36076,188,4,43.532902,-84.079597,668
4626,RPVJ,MBT,Moises R. Espinosa Airport,medium_airport,26034,140,1,12.369682,123.630095,49
4627,AGGI,MBU,Babanakira Airport,small_airport,50014,161,6,-9.7475,159.839005,
4628,AYSX,MBV,Masa Airport,small_airport,50015,137,6,-6.345,147.591,5900
4629,YMMB,MBW,Melbourne Moorabbin Airport,medium_airport,26519,9,6,-37.97579956,145.102005,50
4630,LJMB,MBX,Maribor Edvard Rusjan Airport,medium_airport,50016,160,3,46.4799,15.6861,876
4631,KMBY,MBY,Omar N Bradley Airport,small_airport,27304,188,4,39.464393,-92.428365,867
4632,SWMW,MBZ,Maués Airport,small_airport,50017,24,5,-3.37217,-57.7248,69
4633,GUMA,MCA,Macenta Airport,small_airport,24622,69,2,8.481456,-9.526048,1690
4634,KMCB,MCB,McComb-Pike County Airport / John E Lewis Field,medium_airport,26354,188,4,31.178499,-90.471901,413
4635,KMCC,MCC,McClellan Airfield,medium_airport,36016,188,4,38.667599,-121.401001,77
4636,KMCD,MCD,Mackinac Island Airport,small_airport,50018,188,4,45.86489868,-84.63729858,739
4637,KMCE,MCE,Merced Regional Macready Field,medium_airport,26650,188,4,37.284698,-120.514,155
4638,KMCF,MCF,MacDill Air Force Base,medium_airport,41777,188,4,27.8493,-82.521202,14
4639,PAMC,MCG,McGrath Airport,medium_airport,50019,188,4,62.95289993,-155.6060028,341
4640,KMCI,MCI,Kansas City International Airport,large_airport,20007,188,4,39.2976,-94.713898,1026
4641,SKLM,MCJ,Jorge Isaac Airport,medium_airport,50020,37,5,11.2325,-72.4901,281
4642,KMCK,MCK,McCook Ben Nelson Regional Airport,medium_airport,50021,188,4,40.207787,-100.592794,2583
4643,PAIN,MCL,Denali National Park Airport,small_airport,50022,188,4,63.732465,-148.911266,1720
4644,LNMC,MCM,Helipuerto Internacional de Monaco-Fontvieille,heliport,50023,116,3,43.725798,7.419673,20
4645,KMCN,MCN,Middle Georgia Regional Airport,medium_airport,24657,188,4,32.69279861,-83.64920044,354
4646,KMCO,MCO,Orlando International Airport,large_airport,30743,188,4,28.42939949,-81.30899811,96
4647,SBMQ,MCP,Macapá - Alberto Alcolumbre International Airport,medium_airport,50024,24,5,0.050664,-51.072201,56
4648,SARM,MCS,Monte Caseros Airport,medium_airport,27583,7,5,-30.2719,-57.6402,170
4649,OOMS,MCT,Muscat International Airport,large_airport,28286,132,1,23.5933,58.284401,48
4650,LFBK,MCU,Montluçon-Guéret Airport,medium_airport,50025,60,3,46.222599,2.36396,1497
4651,YMHU,MCV,McArthur River Mine Airport,small_airport,50026,9,6,-16.44249916,136.0839996,131
4652,KMCW,MCW,Mason City Municipal Airport,medium_airport,26069,188,4,43.159801,-93.329716,1213
4653,URML,MCX,Makhachkala Uytash International Airport,medium_airport,25070,145,3,42.816799,47.652302,12
4654,YBSU,MCY,Sunshine Coast Airport,medium_airport,25904,9,6,-26.593324,153.08319,15
4655,SBMO,MCZ,Zumbi dos Palmares Airport,medium_airport,50027,24,5,-9.51081,-35.791698,387
4656,KMDA,MDA,Martindale Army Heliport,heliport,36656,188,4,29.43129921,-98.37779999,674
